,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
1513,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 23:20:40,3,14,"Fire at O'Hare! What a mess. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/JfhzyQVJck https://t.co/NujtvwRxit"
1514,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 22:59:38,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/GiHR2zojDo"
1515,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 22:53:34,0,0,"A special stop for @garrettpopcorn (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/AqORAv3TyH"
1516,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 22:30:46,0,0,I made my family disappear #chicago #layover @ Chicago O'Hare International Airport https://t.co/xN1lAxyJkl
1517,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 22:30:15,0,0,Sh&amp;t @ Chicago O'Hare International Airport https://t.co/viN53cb7Pa
1518,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 22:12:05,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/WFCiWiHDoo"
1519,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 22:08:25,1,0,"Heading back out. It's been fun #Chicago! (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/KvHP6UlViu"
1520,o'hare,,2016-03-10 21:51:08,0,3,"RT @stevewoz: 1222. (@ The Westin O'Hare in Rosemont, IL) https://t.co/ZfVRH9YSIS"
1521,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 21:43:26,0,0,"Swarming in #Chicago. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/CRUzjJZLon"
1522,o'hare,,2016-03-10 21:42:55,0,3,"RT @stevewoz: 1222. (@ The Westin O'Hare in Rosemont, IL) https://t.co/ZfVRH9YSIS"
1523,o'hare,,2016-03-10 21:36:29,0,3,"RT @stevewoz: 1222. (@ The Westin O'Hare in Rosemont, IL) https://t.co/ZfVRH9YSIS"
