,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
0,Englewood,,2016-03-17 21:30:48,0,1,"RT @FMCNAJobs: See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.…"
1,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-17 16:54:39,0,1,"See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.co/7i1uVrIhk6"
2,Englewood,"{'coordinates': [-87.609602, 41.822878], 'type': 'Point'}",2016-03-17 16:54:26,0,0,#GreatinEnglewood in Action! It felt so good returning to my alma… https://t.co/YypV1zNASb
3,Englewood,"{'coordinates': [-87.609602, 41.822878], 'type': 'Point'}",2016-03-17 16:20:09,0,0,I started my day sharing the #GreatinEnglewood work of RAGE w/… https://t.co/CW637NPPRP
4,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 13:45:26,0,0,😂😂😂😂 @ Englewood Southside https://t.co/aeKVr79uMR
5,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:53:12,0,0,Bitch💁 #Word 📙 @ Englewood Southside https://t.co/cj1tLzBrhq
6,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:52:02,0,0,😂😞😂😂😂😞 @ Englewood Southside https://t.co/4l62EPN1up
7,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:51:25,0,0,😂😂😂 @ Englewood Southside https://t.co/m3uRmnL0FM
8,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:50:29,0,0,😎👌👋👋🙋🙋 @ Englewood Southside https://t.co/nMKDQUEQTe
9,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:49:33,0,0,Just posted a photo @ Englewood Southside https://t.co/QCsAZiLX2O
10,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-17 12:48:15,0,0,Just posted a photo @ Englewood Southside https://t.co/Iwtycjuldu
11,Englewood,"{'coordinates': [-87.64477778, 41.77978611], 'type': 'Point'}",2016-03-17 01:52:08,0,0,"Be stayin low tryna duck the bullshit @ Englewood, Chicago https://t.co/9NP1ZKcZkR"
12,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-16 22:02:09,0,0,#Word @ Englewood Southside https://t.co/sButv96iQ9
13,Englewood,"{'coordinates': [-87.64513733, 41.79094389], 'type': 'Point'}",2016-03-16 20:31:15,0,0,Holla at cha boa. @citylife57 #snapchat @ Streets Of Englewood https://t.co/YiW0tdzIOq
14,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-16 18:14:33,0,0,"Hemodialysis Registered Nurse - Englewood - Chicago, IL - Fresenius Medical Care: (#Chicago, IL) https://t.co/mFXWHmsMto #dialysis #Job"
15,Englewood,"{'coordinates': [-87.65425679, 41.76718915], 'type': 'Point'}",2016-03-16 03:32:47,0,0,Post election meet up....What a lively convo with fellow RAGE… https://t.co/COtIWNgq2E
16,Englewood,"{'coordinates': [-87.66396247, 41.77396874], 'type': 'Point'}",2016-03-15 23:21:28,2,0,Resident Association of Greater Englewood bi-monthly village meeting. Spreading the good news. #Chicago #Englewood https://t.co/zQWHpjO9dA
17,Englewood,"{'coordinates': [-87.66115998, 41.78729154], 'type': 'Point'}",2016-03-15 19:02:58,0,0,"😂😂😂 #Facts @ Chicago (Englewood neighborhood), Illinois https://t.co/9Q8SJZ4yWQ"
18,Englewood,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-15 18:26:51,0,0,"If you're a professional in #Chicago, IL, check out this #job: https://t.co/1E3S9etfMh #Hiring"
19,Englewood,"{'coordinates': [-87.63727757, 41.78535165], 'type': 'Point'}",2016-03-15 18:01:55,0,0,Go Vote Niggas @ Englewood Southside https://t.co/DJDDTBItZy
20,Englewood,"{'coordinates': [-87.64472008, 41.77976089], 'type': 'Point'}",2016-03-15 17:19:59,1,0,"Inspection. #buyer #investor #realestate (@ Englewood in Chicago, IL) https://t.co/scmwFrYEBz"
