,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
0,Englewood,,2016-03-17 22:06:03,0,1,RT @CollegeGradSwag: Again big ups to the kid from Chicago @lildurk_ for showing love to the school iTeach at in Englewood #CheckItOut  htt…
1,Englewood,,2016-03-17 22:05:09,0,1,Again big ups to the kid from Chicago @lildurk_ for showing love to the school iTeach at in Englewood #CheckItOut  https://t.co/djJs6ufl7W
2,Englewood,,2016-03-17 21:44:14,0,2,RT @AndreaVWatson12: Donations Are Rolling in to Save Englewood Elementary School's Chess Team https://t.co/D7T1I3RG1l
3,Englewood,,2016-03-17 21:40:34,0,2,"RT @AndreaVWatson12: Howard Brown Opens LGBT-Focused Clinic in Englewood, Its 1st on South Side  https://t.co/x8NnLaTPE0"
4,Englewood,,2016-03-17 21:40:18,0,2,RT @growinghome: Free #Easter Basket Giveaway in #Englewood Saturday https://t.co/7X8NVsj3LO from @andreavwatson12 of @DNAinfoCHI https://t…
5,Englewood,,2016-03-17 21:37:25,0,0,"@howardbrownhc Opens LGBT-Focused Clinic in #Englewood, Its 1st on South Side via @DNAinfoCHI https://t.co/GnWOWmzsEh"
6,Englewood,,2016-03-17 21:37:10,0,1,"RT @DeborahWetzel1: Englewood,Chicago Students Go For Championship at State Lego Robotics Competition via @DNAinfoCHI https://t.co/kvkB5BlV…"
7,Englewood,,2016-03-17 21:36:23,0,2,RT @mystrogrant: If you're not at the table you're on the menu. #Englewood  #Chicago #blacklivematter  #BlackHistoryMonth
8,Englewood,,2016-03-17 21:35:45,0,1,"RT @CHIrowhouses: 354 W Normal Pkwy, Englewood, #Chicago #architecture https://t.co/x16ZmxOSn1"
9,Englewood,,2016-03-17 21:34:38,0,1,"RT @mangodebango: 📷 Bernie Sanders being arrested at an anti-segregation civil rights protest, Englewood, Chicago, IL,... https://t.co/yGbP…"
10,Englewood,,2016-03-17 21:32:26,0,1,"RT @CHIrowhouses: 354 W Normal Pkwy, Englewood, #Chicago #architecture https://t.co/Nl6Esj3UTj"
11,Englewood,,2016-03-17 21:32:12,0,3,"RT @SouthSideBuzz: From Englewood to Flint....We Care!: Several groups based in Englewood, Chicago are seeking donations so that they… http…"
12,Englewood,,2016-03-17 21:31:51,0,1,RT @MRandAssociates: Early Sunday morning meeting on pro bono project im working on. Bringing healthy alternatives to Englewood. #Chicago #…
13,Englewood,,2016-03-17 21:30:48,0,1,"RT @FMCNAJobs: See our latest #Chicago, IL #job and click to apply: Dialysis Patient Care Technician - Englewood - Chicago, IL - https://t.…"
14,Englewood,,2016-03-17 21:29:30,0,1,"RT @MetroFamChicago: Englewood Enterprise Gallery's monthly empowerment open house is Mar 13, with kids activities too #goodinenglewood htt…"
15,Englewood,,2016-03-17 21:29:07,0,2,RT @MetroFamChicago: Tomorrow! Learn about #jobs available at the new #Englewood Whole Foods! #goodinenglewood https://t.co/Vb4UOlDzFn
16,Englewood,,2016-03-17 20:39:29,0,1,RT @DNAinfoCHI: Man accused of stabbing his public defender in the neck with a shank pleads guilty to rape https://t.co/R3eEMmi6wD https://…
17,Englewood,,2016-03-17 20:36:00,1,1,Man accused of stabbing his public defender in the neck with a shank pleads guilty to rape https://t.co/R3eEMmi6wD https://t.co/98lV0dqJ7m
18,Englewood,,2016-03-17 20:21:42,0,0,Howard Brown Opens #LGBT-Focused Clinic in Englewood #chicago https://t.co/OXt1axN9fy @DNAinfoCHI
19,Englewood,,2016-03-17 19:41:22,0,0,I liked a @YouTube video from @complex_news https://t.co/GhggL2obFc Lil Durk Takes Complex on a Tour of Englewood on Chicago's South
20,Englewood,,2016-03-17 19:33:44,0,1,RT @CSTbreaking: A 31-year-old man shot to death Tuesday night in Englewood has been identified as Kenneth Renaldo Brown. https://t.co/wDrb…
21,Englewood,,2016-03-17 19:32:58,0,4,RT @LilDurkHQ: Lil Durk Gives Us A Tour Of Englewood On Chicago’s South Side In “The Neighborhood” https://t.co/IQ1B5ZJDa9
22,Englewood,,2016-03-17 19:23:36,0,1,A 31-year-old man shot to death Tuesday night in Englewood has been identified as Kenneth Renaldo Brown. https://t.co/wDrbssDvVr
23,Englewood,,2016-03-17 18:43:44,2,0,"Great job @howardbrownhc! Howard Brown Opens #LGBT-Focused Clinic in #Englewood, Its 1st on South Side @DNAinfoCHI https://t.co/E1XmGSNT4f"
24,Englewood,,2016-03-17 18:20:11,0,0,I liked a @YouTube video from @complex_news https://t.co/YmoFYyyZWa Lil Durk Takes Complex on a Tour of Englewood on Chicago's South
25,Englewood,,2016-03-17 17:15:07,0,0,Lil Durk Takes Complex on a Tour of Englewood on Chicago's South Side | The Neighborhood https://t.co/PQ3g7NPJeC
