,Unnamed: 0,Unnamed: 0.1,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Latitude,Longitude,Date,Sentiment
20,20,20,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-10 23:29:28,1,0,Day 10 #OTWWB Go Blue Demons! #DePaulWomenRock #WHMPhotoADay @ Rogers Park Neighborhood https://t.co/OCUqdkM9hZ,-87.67733976,42.01507579,2016-03-10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,21,21,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-10 05:34:02,0,0,#food #foodporn #delicious #chef #homemade @ Rogers Park Neighborhood https://t.co/hBWO31zOw9,-87.67733976,42.01507579,2016-03-10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,22,22,rogers park,"{'coordinates': [-87.6637497, 42.0137024], 'type': 'Point'}",2016-03-09 04:42:46,5,0,It was a beautiful morning! @ Rogers Park Chamber of Commerce https://t.co/yxtLzpGox5,-87.6637497,42.0137024,2016-03-09,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.636}"
23,23,23,rogers park,"{'coordinates': [-87.66382512, 42.01402818], 'type': 'Point'}",2016-03-08 22:12:33,0,0,"Just posted a photo @ Rogers Park, Chicago, Illinois https://t.co/J7CmkK6cIJ",-87.66382512,42.01402818,2016-03-08,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,24,24,west ridge,"{'coordinates': [-87.69035633, 42.00497368], 'type': 'Point'}",2016-03-15 22:04:09,0,0,"Voting (@ West Ridge Neighborhood in Chicago, IL) https://t.co/B7JeoCdEWK",-87.69035633,42.00497368,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,25,25,west ridge,"{'coordinates': [-87.62626724, 41.88804564], 'type': 'Point'}",2016-03-09 01:25:09,0,0,"Jessica Suarez, 21, reported missing from West Ridge https://t.co/4L6J0qZiXw",-87.62626724,41.88804564,2016-03-09,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
26,26,26,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-17 13:17:47,0,0,"Morning Happy St Patrick Day🍀🍀🍀 (@ Uptown in Chicago, IL) https://t.co/A9M8BNhvRN",-87.65834662,41.96743858,2016-03-17,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5719}"
27,27,27,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-17 13:01:07,0,0,"Join the Fresenius Medical Care team! See our latest #Healthcare #job opening here: https://t.co/UIwfMzCmOR #Chicago, IL #Hiring",-87.62979820000001,41.8781136,2016-03-17,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.69}"
28,28,28,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-16 22:47:56,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/U9nSJuQ7lR",-87.65834662,41.96743858,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,29,29,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-16 21:22:27,0,0,"This #Retail #job might be a great fit for you: store manager - Chicago, IL - Uptown/Lakeview - https://t.co/kz26qbet9N #Chicago, Illinois",-87.62979820000001,41.8781136,2016-03-16,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}"
30,30,30,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-16 14:34:57,0,0,"#Healthcare #Job in #Chicago, IL: Renal Registered Dietitian - Uptown Chicago at Fresenius Medical Care https://t.co/gTa1LpChAk #dialysis",-87.62979820000001,41.8781136,2016-03-16,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
31,31,31,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-16 13:21:45,0,0,"Morning happy hump day (@ Uptown in Chicago, IL) https://t.co/SOw177jQoR",-87.65834662,41.96743858,2016-03-16,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}"
32,32,32,uptown,"{'coordinates': [-87.65917026, 41.96917828], 'type': 'Point'}",2016-03-16 05:15:42,0,0,"I'm at Uptown Lounge in Chicago, IL https://t.co/a5nJ0HAHFx",-87.65917026,41.96917828,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,33,33,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-16 01:53:32,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/nLM6Cmyf1F",-87.65834662,41.96743858,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,34,34,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-15 16:34:32,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/jTVXLODYw4",-87.65834662,41.96743858,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,35,35,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-15 14:56:43,0,0,"Voted! (@ Uptown in Chicago, IL) https://t.co/0T89WYWlXR https://t.co/ajotYu06mj",-87.65834662,41.96743858,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,36,36,uptown,"{'coordinates': [-87.65917026, 41.96917828], 'type': 'Point'}",2016-03-15 10:04:21,0,0,"Thank you thank you thank you!!! For me @hardwaterbar @fatcatchicago &amp; more (@ Uptown Lounge in Chicago, IL) https://t.co/ASKmOT4G2k",-87.65917026,41.96917828,2016-03-15,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.8114}"
37,37,37,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-15 09:07:56,0,0,"Morning. (@ Uptown in Chicago, IL) https://t.co/wEu3lKYjH8",-87.65834662,41.96743858,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,38,38,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-15 03:58:06,0,0,"in #Chicago, IL: Dialysis Patient Care Technician - Uptown Chicago - Chicago, IL *... at Fresenius Medical Care https://t.co/6r2vAkbk3U",-87.62979820000001,41.8781136,2016-03-15,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}"
39,39,39,uptown,"{'coordinates': [-87.65727812, 41.96550186], 'type': 'Point'}",2016-03-14 17:28:49,0,0,"Suggested for me by Spotify #happymonday #wtf #spotify @ Uptown, Chicago 60640 https://t.co/l0SoYPlDGa",-87.65727812,41.96550186,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,40,40,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-14 16:29:44,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/r1yu7tKJhD",-87.65834662,41.96743858,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,41,41,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-14 09:10:45,0,0,"Morning (@ Uptown in Chicago, IL) https://t.co/caC9kMMTGE",-87.65834662,41.96743858,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,42,42,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-14 00:45:20,0,0,"Leaving the station (@ Uptown in Chicago, IL) https://t.co/LBy1ZGrIaR",-87.65834662,41.96743858,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,43,43,uptown,"{'coordinates': [-87.647543, 41.966197], 'type': 'Point'}",2016-03-14 00:17:49,0,0,Until next time Uptown ❤️ #Salute,-87.647543,41.966196999999994,2016-03-14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,44,44,uptown,"{'coordinates': [-87.647342, 41.966575], 'type': 'Point'}",2016-03-13 22:59:29,0,0,Uptown ❤️ #Salute,-87.64734200000001,41.966575,2016-03-13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,45,45,uptown,"{'coordinates': [-87.65926692, 41.96793235], 'type': 'Point'}",2016-03-13 17:21:02,0,0,The Uptown Throwdown was a blast! Thanks to everyone who competed - the energy and psych was… https://t.co/5qR976UEgh,-87.65926692,41.96793235,2016-03-13,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.6476}"
46,46,46,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-13 09:15:46,0,0,"Yeah the train is here. (@ Uptown in Chicago, IL) https://t.co/phV9WP2eRF",-87.65834662,41.96743858,2016-03-13,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}"
47,47,47,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-13 09:11:24,0,0,"Good morning😊😊 (@ Uptown in Chicago, IL) https://t.co/qCJLed5sI6",-87.65834662,41.96743858,2016-03-13,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
48,48,48,uptown,"{'coordinates': [-87.65917026, 41.96917828], 'type': 'Point'}",2016-03-13 08:24:35,0,0,"I'm at Uptown Lounge in Chicago, IL https://t.co/IiMIp9YKa1",-87.65917026,41.96917828,2016-03-13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,49,49,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-13 00:33:46,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/QZGBNvufIY",-87.65834662,41.96743858,2016-03-13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,50,50,uptown,"{'coordinates': [-87.65926692, 41.96793235], 'type': 'Point'}",2016-03-12 18:26:21,0,0,"Uptown Throwdown: $25. Session with Conrad Anker: priceless.
@conradanker thenorthface… https://t.co/6HIkSGJTN4",-87.65926692,41.96793235,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,51,51,uptown,"{'coordinates': [-87.66, 41.97], 'type': 'Point'}",2016-03-12 14:42:50,0,0,"Picking up kiersten_who #lol #skippy #stpatricksday #chicago @ Uptown, Chicago https://t.co/IgLstZWJhD",-87.66,41.97,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,52,52,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-12 10:11:47,0,0,"Morning (@ Uptown in Chicago, IL) https://t.co/ZP2c3bZaFw",-87.65834662,41.96743858,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,53,53,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-12 07:16:51,0,0,"Interested in a #job near #Chicago, IL? This could be a great fit: https://t.co/Hp63j9Gozb #Hiring",-87.62979820000001,41.8781136,2016-03-12,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.8519}"
54,54,54,uptown,"{'coordinates': [-87.6586227, 41.9675064], 'type': 'Point'}",2016-03-12 04:07:09,0,0,Donkey Kong at the #raksgeek show at #uptownunderground ! @ Uptown Underground https://t.co/dFFdtQ5Xbk,-87.65862270000001,41.9675064,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,55,55,uptown,"{'coordinates': [-87.65737063, 41.99453682], 'type': 'Point'}",2016-03-11 21:44:47,1,0,"and then I decided, why not do a coffee crawl in uptown on my last day of spring break? have… https://t.co/iMjQQJ6Q4k",-87.65737063,41.99453682,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,56,56,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-11 20:44:36,0,0,"Want to work at Fresenius Medical Care? We're #hiring in #Chicago, IL! Click for details: https://t.co/dOSnaUjJ7J #Job #dialysis #Jobs",-87.62979820000001,41.8781136,2016-03-11,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5848}"
57,57,57,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-11 19:25:46,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/OfrcyOyraU",-87.65834662,41.96743858,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,58,58,uptown,"{'coordinates': [-87.66, 41.97], 'type': 'Point'}",2016-03-11 17:40:07,1,0,Praying specifically for the Lawrence and Sheridan intersection in Uptown this morning. Asking… https://t.co/sD1rAzqt8m,-87.66,41.97,2016-03-11,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
59,59,59,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-11 16:31:16,0,0,"#Chicago, IL : Dialysis Patient Care Technician - Uptown Chicago - Chicago, IL at Fresenius Medical Care https://t.co/8LmaPjQpFU #dialysis",-87.62979820000001,41.8781136,2016-03-11,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.7506}"
60,60,60,uptown,"{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",2016-03-11 16:09:55,0,0,"Can you recommend anyone for this #job? https://t.co/6Cq5SMcOTt #dialysis #Chicago, IL #Hiring #CareerArc",-87.62979820000001,41.8781136,2016-03-11,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}"
61,61,61,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-11 10:10:44,0,0,"Morning (@ Uptown in Chicago, IL) https://t.co/S5cAJwBAlM",-87.65834662,41.96743858,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,62,62,uptown,"{'coordinates': [-87.653408, 41.9690093], 'type': 'Point'}",2016-03-11 03:11:30,0,0,Post Alpha leaders meeting. Crushing it! #mduptown @ Missio Dei Uptown https://t.co/PspPNCZfyC,-87.653408,41.969009299999996,2016-03-11,"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.4199}"
63,63,63,uptown,,2016-03-11 02:30:14,0,1,RT @miss_burky: walking around uptown carrying a baguette,,,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
64,64,64,uptown,"{'coordinates': [-87.66848499, 41.96538918], 'type': 'Point'}",2016-03-11 00:58:17,2,1,walking around uptown carrying a baguette,-87.66848499,41.96538918,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,65,65,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-11 00:42:42,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/ELeqNsnFR4",-87.65834662,41.96743858,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,66,66,uptown,"{'coordinates': [-87.6548538, 41.9585457], 'type': 'Point'}",2016-03-11 00:04:55,1,0,"St. Mary of the Lake #uptown #Chicago @ St. Mary of the Lake Parish, Chicago https://t.co/MMqlCzifKV",-87.6548538,41.9585457,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,67,67,uptown,"{'coordinates': [-87.8292007, 42.0105095], 'type': 'Point'}",2016-03-10 19:37:09,0,0,Solo matinee always a good idea #uptown #classic #northwestburbs @ Pickwick Theater https://t.co/GgzD6E4SOk,-87.8292007,42.0105095,2016-03-10,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
68,68,68,uptown,"{'coordinates': [-87.66, 41.97], 'type': 'Point'}",2016-03-10 18:49:59,0,0,"Missing my mustard bedroom. 💤💤🌭😴 @ Uptown, Chicago https://t.co/MXTSbhkGGI",-87.66,41.97,2016-03-10,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
69,69,69,uptown,"{'coordinates': [-87.65727812, 41.96550186], 'type': 'Point'}",2016-03-10 18:41:21,0,0,"Cloudy day in Uptown. #chicago ☁️☁️☁️☁️☁️☁️☁️☁️☁️ @ Uptown, Chicago 60640 https://t.co/8A99IhX3L8",-87.65727812,41.96550186,2016-03-10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,70,70,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-10 14:23:25,0,0,"Good morning. (@ Uptown in Chicago, IL) https://t.co/9IEprbKpG8",-87.65834662,41.96743858,2016-03-10,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
71,71,71,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-10 01:23:15,0,0,"Back in my hood. (@ Uptown in Chicago, IL) https://t.co/Z7PeZPsMRx",-87.65834662,41.96743858,2016-03-10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,72,72,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-09 16:43:54,0,0,"Leaving the station. (@ Uptown in Chicago, IL) https://t.co/NAbw05DbEN",-87.65834662,41.96743858,2016-03-09,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,73,73,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-09 13:22:52,0,0,"Morning. (@ Uptown in Chicago, IL) https://t.co/kjQCghPhtx",-87.65834662,41.96743858,2016-03-09,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,74,74,uptown,"{'coordinates': [-87.6586227, 41.9675064], 'type': 'Point'}",2016-03-09 06:58:50,0,0,"The resemblance is uncanny. Come out Saturday to Uptown Underground and see #pervesk ""Perverted… https://t.co/lj3nwiMe4H",-87.65862270000001,41.9675064,2016-03-09,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,75,75,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-09 04:27:30,0,0,"Leaving the Wilson Station. (@ Uptown in Chicago, IL) https://t.co/RWEklI5CxS",-87.65834662,41.96743858,2016-03-09,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,76,76,uptown,"{'coordinates': [-87.66, 41.97], 'type': 'Point'}",2016-03-09 01:03:35,0,0,"Spring has come in Chicago. ❤️☺️ #springvibes #bluesky #uptown #chitown #chicago @ Uptown, Chicago https://t.co/1UY8eUEQu8",-87.66,41.97,2016-03-09,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,77,77,uptown,"{'coordinates': [-87.65834662, 41.96743858], 'type': 'Point'}",2016-03-08 17:27:28,0,0,"Leaving the Wilson Station. (@ Uptown in Chicago, IL) https://t.co/CTvQOzg8D4",-87.65834662,41.96743858,2016-03-08,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,78,78,uptown,"{'coordinates': [-87.65512764, 41.9740512], 'type': 'Point'}",2016-03-08 15:08:12,0,0,"Good Morning, Chicago. #breakfast #chicago #uptown @ Tweet Let's Eat https://t.co/PJNC73C8JZ",-87.65512764,41.974051200000005,2016-03-08,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
79,79,79,lincoln square,"{'coordinates': [-87.6872228, 41.96656335], 'type': 'Point'}",2016-03-17 17:25:45,0,0,"I'm at Lincoln Square Athletic Club in Chicago, IL https://t.co/yDOhc2F1BR",-87.6872228,41.96656335,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
