,Unnamed: 0,Unnamed: 0.1,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content,Latitude,Longitude,Date,Sentiment
0,0,0,rogers park,"{'coordinates': [-87.67467921, 42.0160989], 'type': 'Point'}",2016-03-17 23:35:26,1,1,"Cooked Ham, USDA Choice Roasts and Catfish Nuggets at Rogers Park Fruit Market! @ Rogers Park… https://t.co/lrpKo88Zur",-87.67467921,42.0160989,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,1,1,rogers park,"{'coordinates': [-87.6637497, 42.0137024], 'type': 'Point'}",2016-03-17 13:28:24,0,0,Making it happen for Mary Taylor Sticha! @ Rogers Park Chamber of Commerce https://t.co/IP14BRxTxN,-87.6637497,42.0137024,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2,2,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-17 03:45:19,0,0,Just posted a photo @ Rogers Park Neighborhood https://t.co/UBzNlNNuc8,-87.67733976,42.01507579,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,3,3,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-17 03:19:10,0,0,Just posted a photo @ Rogers Park Neighborhood https://t.co/ZZHX9qz5gp,-87.67733976,42.01507579,2016-03-17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,4,4,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 20:26:16,1,0,The clouds are moving today! @ Rogers Park Neighborhood https://t.co/oP4E8Iyw10,-87.67733976,42.01507579,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,5,5,rogers park,"{'coordinates': [-87.666285, 42.007317], 'type': 'Point'}",2016-03-16 15:43:47,2,0,"I'm at Rogers Park Social - @rpsocialbar in Chicago, IL https://t.co/7gANCcckgQ",-87.666285,42.007317,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,6,6,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 08:40:07,0,0,Wild for the night. Fuck bein' polite. @ Rogers Park Neighborhood https://t.co/6IsuoADlUT,-87.67733976,42.01507579,2016-03-16,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}"
7,7,7,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-16 08:37:36,0,0,Ma Gurls!! @ Rogers Park Neighborhood https://t.co/9EnbYJwuTn,-87.67733976,42.01507579,2016-03-16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,8,8,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 17:01:16,0,0,Casting my vote in the art room of a charter school that used to be a Mega Mall @ Rogers Park… https://t.co/1sOMxsg9VR,-87.67733976,42.01507579,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,9,9,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 14:21:10,0,0,Folks... I think I felt the Bern... @ Rogers Park Neighborhood https://t.co/tlY3aGP0Ar,-87.67733976,42.01507579,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,10,10,rogers park,"{'coordinates': [-87.69468805, 42.01308307], 'type': 'Point'}",2016-03-15 13:40:31,2,0,"Just #Voted #IllinoisPrimary (@ Rogers (Phillip) Park in Chicago, IL) https://t.co/dP2TBXbssY",-87.69468805,42.01308307,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,11,11,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-15 02:05:00,1,0,Day 14 Goals: To finish grading before 10pm #DePaulWomenRock #WHMPhotoADay @ Rogers Park… https://t.co/CBe84Mcow0,-87.67733976,42.01507579,2016-03-15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,12,12,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-13 21:35:20,0,0,Quiet Sunday. @ Rogers Park Neighborhood https://t.co/cAUYJw1IYB,-87.67733976,42.01507579,2016-03-13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,13,13,rogers park,,2016-03-13 05:11:27,0,1,RT @RogersParkCoC: New lofts in a beautiful existing building on Clark Street (near Estes). @ Rogers Park Chamber of… https://t.co/6xqKC0Qr…,,,2016-03-13,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5994}"
14,14,14,rogers park,"{'coordinates': [-87.6662979, 42.0074272], 'type': 'Point'}",2016-03-12 01:02:57,0,0,"Hey, Donnie. Heard you bailed on your own party at UIC. Need some liquid courage? @ Rogers Park… https://t.co/hFbrdmPCsC",-87.6662979,42.0074272,2016-03-12,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7096}"
15,15,15,rogers park,"{'coordinates': [-87.67733976, 42.01507579], 'type': 'Point'}",2016-03-12 00:41:15,1,0,Day 11 First Lady Friday: Go Michelle! #DePaulWomenRock #WHMPhotoADay @ Rogers Park Neighborhood https://t.co/7uBfva7U3r,-87.67733976,42.01507579,2016-03-12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,16,16,rogers park,"{'coordinates': [-87.67163858, 42.01077103], 'type': 'Point'}",2016-03-11 19:13:44,1,0,"I'm at Rogers Park in Chicago, IL https://t.co/1szinww26m",-87.67163858,42.01077103,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,17,17,rogers park,"{'coordinates': [-87.67163858, 42.01077103], 'type': 'Point'}",2016-03-11 07:28:36,1,0,"I'm at Rogers Park in Chicago, IL https://t.co/ZQD4xNEJQf",-87.67163858,42.01077103,2016-03-11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,18,18,rogers park,"{'coordinates': [-87.66382512, 42.01402818], 'type': 'Point'}",2016-03-11 02:18:14,0,0,"No Chopstix #tbt @ Rogers Park, Chicago, Illinois https://t.co/mVfwh2pNAQ",-87.66382512,42.01402818,2016-03-11,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
19,19,19,rogers park,"{'coordinates': [-87.6758728, 42.0188026], 'type': 'Point'}",2016-03-11 00:23:39,6,1,Rogers Park Chamber of Commerce member Hard Water Bar &amp; Grill @ Hard Water Bar and Grill https://t.co/XHUAaCVX1c,-87.6758728,42.0188026,2016-03-11,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.2023}"
